"District IRN","District Name","County","Region","Address","City and Zip Code","Phone #","Superintendent","Four Year Longitudinal Graduation Rate - Class of 2016","Letter Grade of 4 year Graduation Rate 2016","Four Year Graduation Rate Numerator - Class of 2016","Four Year Graduation Rate Denominator - Class of 2016","Four Year Graduation Rate - Similar District Average","Four Year Graduation Rate - Statewide Average","Watermark"
"046920","Miami Trace Local","Fayette","Region 14","3818 State Route 41 NW","Washington Court House, OH, 43160-9184","(740) 335-3010","David L. Lewis","93.9","A","155","165","91.7","83.6",""
"046946","Canal Winchester Local","Franklin","Region 11","100 Washington St","Canal Winchester, OH, 43110-1224","(614) 837-4533","James Sotlar","96.9","A","279","288","93.7","83.6",""
"046953","Hamilton Local","Franklin","Region 11","775 Rathmell Rd","Columbus, OH, 43207-4737","(614) 491-8044","Mark M. Tyler","95.4","A","206","216","88.2","83.6",""
"046961","Gahanna-Jefferson City","Franklin","Region 11","160 S Hamilton Rd","Gahanna, OH, 43230-2919","(614) 471-7065","Stephen G. Barrett","93.5","A","536","573","95.4","83.6",""
"046979","Groveport Madison Local","Franklin","Region 11","4400 Marketing Pl Ste B","Groveport, OH, 43125-2009","(614) 492-2520","Bruce A. Hoover","80.3","D","290","361","84.8","83.6",""
"046995","New Albany-Plain Local","Franklin","Region 11","55 N High St","New Albany, OH, 43054-7099","(614) 855-2040","Michael L. Sawyers","97.4","A","305","313","96.8","83.6",""
"047001","Reynoldsburg City","Franklin","Region 11","7244 E Main St","Reynoldsburg, OH, 43068-2014","(614) 501-1020","Melvin Brown","92.4","B","402","435","88.0","83.6",""
"047019","Hilliard City","Franklin","Region 11","2140 Atlas St","Columbus, OH, 43228-9647","(614) 921-7000","John C. Marschhausen","95.3","A","1146","1202","95.1","83.6",""
"047027","Dublin City","Franklin","Region 11","7030 Coffman Rd","Dublin, OH, 43017-1068","(614) 764-5913","Todd F. Hoadley","97.5","A","1191","1221","95.4","83.6",""
"047043","Archbold-Area Local","Fulton","Region 1","600 Lafayette St","Archbold, OH, 43502-1656","(419) 446-2728","Aaron M. Rex","96.8","A","92","95","94.7","83.6",""
"047050","Evergreen Local","Fulton","Region 1","14544 County Road 6","Metamora, OH, 43540-9741","(419) 644-3521","James A. Wyse","96.7","A","88","91","94.6","83.6",""
"047068","Fayette Local","Fulton","Region 1","400 E Gamble Rd","Fayette, OH, 43521-9462","","Erik M. Belcher","97.3","A","36","37","94.4","83.6",""
"047076","Pettisville Local","Fulton","Region 1","Box 53001","Pettisville, OH, 43553-0001","(419) 446-2705","Stephen S. Switzer","97.6","A","41","42","96.3","83.6",""
"047084","Pike-Delta-York Local","Fulton","Region 1","504 Fernwood St","Delta, OH, 43515-1204","(419) 822-3391","Ted M. Haselman","88.9","C","80","90","93.6","83.6",""
"047092","Swanton Local","Fulton","Region 1","108 N Main St","Swanton, OH, 43558-1032","(419) 826-7085","Christopher M. Lake","88.6","C","109","123","93.6","83.6",""
"047167","Berkshire Local","Geauga","Region 4","PO Box 364","Burton, OH, 44021-0364","(440) 834-3380","John R. Stoddard","89.4","B","101","113","94.5","83.6",""
"047175","Cardinal Local","Geauga","Region 4","PO Box 188","Middlefield, OH, 44062-0188","(440) 632-0261","Scott J. Hunt","94.3","A","83","88","94.2","83.6",""
"047183","Chardon Local","Geauga","Region 4","428 North St","Chardon, OH, 44024-1036","(440) 285-4052","Michael P. Hanlon","92.9","B","223","240","94.9","83.6","Achievement, Progress and Gap Closing data may be incomplete due to local reporting error. Contact district for more information."
"047191","Kenston Local","Geauga","Region 4","17419 Snyder Rd","Chagrin Falls, OH, 44023-2730","(440) 543-9677","Nancy R. Santilli","96.4","A","241","250","96.5","83.6",""
"047217","Newbury Local","Geauga","Region 4","14775 Auburn Rd","Newbury, OH, 44065-9702","(440) 564-5501","Michelle R. Mrakovich","87.8","C","43","49","96.9","83.6",""
"047225","West Geauga Local","Geauga","Region 4","8615 Cedar Rd","Chesterland, OH, 44026-3519","(440) 729-5900","Richard A. Markwardt","93.1","A","189","203","96.4","83.6",""
"047241","Beavercreek City","Greene","Region 10","3040 Kemp Rd","Beavercreek, OH, 45431-2644","(937) 426-1522","Paul M. Otten","96.3","A","572","594","95.7","83.6",""
"047258","Cedar Cliff Local","Greene","Region 10","248 N Main St","Cedarville, OH, 45314-8541","(937) 766-6000","Chad D. Mason","96.1","A","49","51","96.4","83.6",""
"047266","Greeneview Local","Greene","Region 10","4 S Charleston Rd","Jamestown, OH, 45335-1557","(937) 675-2728","Isaac W. Seevers","93.2","A","96","103","95.2","83.6",""
"047274","Bellbrook-Sugarcreek Local","Greene","Region 10","3757 Upper Bellbrook Rd","Bellbrook, OH, 45305-8750","(937) 848-5001","Keith A. St.Pierre","97.7","A","213","218","96.3","83.6",""
"047308","Rolling Hills Local","Guernsey","Region 12","PO Box 38","Byesville, OH, 43723-0038","(740) 432-5370","Ryan D. Caldwell","91.7","B","132","144","90.2","83.6",""
"047332","Finneytown Local","Hamilton","Region 13","8916 Fontainebleau Ter","Cincinnati, OH, 45231-4806","(513) 728-3700","Theresa M. Noe","90.4","B","103","114","89.6","83.6",""
"047340","Forest Hills Local","Hamilton","Region 13","7946 Beechmont Ave","Cincinnati, OH, 45255-4307","(513) 231-3600","Scot T. Prebles","94.9","A","524","552","96.0","83.6",""
"047365","Northwest Local","Hamilton","Region 13","3240 Banning Rd","Cincinnati, OH, 45239-5207","(513) 923-1000","Todd D. Bowling","91.5","B","610","667","87.9","83.6",""
"047373","Oak Hills Local","Hamilton","Region 13","6325 Rapid Run Rd","Cincinnati, OH, 45233-4555","(513) 574-3200","Jeffrey T. Brandt","94.6","A","609","644","93.8","83.6",""
"047381","Southwest Local","Hamilton","Region 13","230 S Elm St","Harrison, OH, 45030-1444","(513) 367-4139","John C. Hamstra","95.7","A","268","280","92.3","83.6",""
"047399","Three Rivers Local","Hamilton","Region 13","401 N Miami Ave","Cleves, OH, 45002-1024","(513) 941-6400","Craig D. Hockenberry","98.0","A","150","153","94.3","83.6",""
"047415","Arcadia Local","Hancock","Region 1","19033 State Route 12","Arcadia, OH, 44804-9714","(419) 894-6431","Bruce A. Kidder","98.1","A","51","52","93.6","83.6",""
"047423","Arlington Local","Hancock","Region 1","336 S Main St","Arlington, OH, 45814-6700","(419) 365-5121","Kevin S. Haught","100.0","A","48","48","96.5","83.6",""
"047431","Cory-Rawson Local","Hancock","Region 1","3930 County Road 26","Rawson, OH, 45881-9609","(419) 963-3415","Robert A. Hlasko","91.3","B","42","46","96.0","83.6",""
"047449","Liberty-Benton Local","Hancock","Region 1","9190 County Road 9","Findlay, OH, 45840-8811","(419) 422-8526","Ronald Kowalski","100.0","A","109","109","95.8","83.6",""
"047456","McComb Local","Hancock","Region 1","328 S Todd St","McComb, OH, 45858-0877","(419) 293-3979","Anthony D. Fenstermaker","91.8","B","45","49","95.1","83.6",""
"047464","Van Buren Local","Hancock","Region 1","217 S Main St","Van Buren, OH, 45889-9720","(419) 299-3578","Timothy L. Myers","98.6","A","71","72","95.1","83.6",""
"047472","Vanlue Local","Hancock","Region 1","PO Box 250","Vanlue, OH, 45890-0250","(419) 387-7724","Traci L. Conley","100.0","A","17","17","95.8","83.6",""
"047498","Hardin Northern Local","Hardin","Region 6","11589 State Route 81","Dola, OH, 45835-9706","(419) 759-2331","Jeffrey S. Price","100.0","A","33","33","96.0","83.6",""
"047506","Ridgemont Local","Hardin","Region 6","560 Taylor St W","Mount Victory, OH, 43340-8802","(937) 354-2441","Ellen S. Darmer","91.4","B","32","35","95.0","83.6",""
"047514","Riverdale Local","Hancock","Region 6","20613 State Route 37","Mt Blanchard, OH, 45867-9783","(419) 694-4994","Jeffrey Young","92.2","B","71","77","95.0","83.6",""
"047522","Upper Scioto Valley Local","Hardin","Region 6","PO Box 305","Mc Guffey, OH, 45859-0305","(419) 757-3231","Miklos J. Kis","89.6","B","43","48","93.0","83.6",""
"047548","Conotton Valley Union Local","Harrison","Region 12","PO Box 187","Sherrodsville, OH, 44675-0187","(740) 269-2000","Jerry T. Herman","88.9","C","32","36","94.1","83.6",""
"047571","Holgate Local","Henry","Region 1","801 Joe E Brown Ave","Holgate, OH, 43527-9802","(419) 264-5141","Kelly J. Meyers","97.0","A","32","33","95.7","83.6",""
"047589","Liberty Center Local","Henry","Region 1","PO Box 434","Liberty Center, OH, 43532-0434","(419) 533-5011","Tod A. Hug","92.9","B","78","84","94.8","83.6",""
"047597","Patrick Henry Local","Henry","Region 1","6900 State Route 18","Hamler, OH, 43524-9781","(419) 274-3015","Thomas L. Taylor","97.0","A","65","67","94.7","83.6",""
"047613","Bright Local","Highland","Region 14","PO Box 299","Mowrystown, OH, 45155-9998","(937) 442-3114","Ted C. Downing","86.9","C","53","61","92.7","83.6",""
"047621","Fairfield Local","Highland","Region 14","11611 State Route 771","Leesburg, OH, 45135-8601","(937) 780-2221","William L. Garrett","93.0","A","66","71","94.0","83.6",""
"047639","Lynchburg-Clay Local","Highland","Region 14","PO Box 515","Lynchburg, OH, 45142-0515","(937) 364-2338","Brett Justice","86.7","C","85","98","93.6","83.6",""
"047688","East Holmes Local","Holmes","Region 12","6108 County Road 77","Millersburg, OH, 44654-9136","(330) 893-2610","Erik H. Beun","89.3","B","67","75","93.5","83.6",""
"047696","West Holmes Local","Holmes","Region 9","28 W Jackson St","Millersburg, OH, 44654-1302","(330) 674-3546","William W. Sterling","92.6","B","176","190","92.9","83.6",""
"047712","Monroeville Local","Huron","Region 2","101 West St","Monroeville, OH, 44847-9797","(419) 465-2610","Gaylord R. Moore","92.7","B","51","55","94.4","83.6",""
"047720","New London Local","Huron","Region 2","2 Wildcat Dr","New London, OH, 44851-9262","(419) 929-8433","Bradley A. Romano","94.2","A","81","86","93.9","83.6",""
"047738","South Central Local","Huron","Region 2","3305 Greenwich Angling Rd","Greenwich, OH, 44837-9443","(419) 752-3815","Benjamin H. Chaffee Jr","98.4","A","61","62","92.0","83.6",""
"047746","Western Reserve Local","Huron","Region 2","3765 US Rt 20","Collins, OH, 44826","(419) 660-8508","Rodge F. Wilson","95.1","A","98","103","93.5","83.6",""
"047761","Oak Hill Union Local","Jackson","Region 16","205 Western Ave","Oak Hill, OH, 45656-1068","(740) 682-7595","Michael A. McCoy","94.1","A","96","102","93.0","83.6",""
"047787","Buckeye Local","Jefferson","Region 12","6899 State Highway 150","Dillonvale, OH, 43917-7904","(740) 769-7395","Kimberly D. Leonard","89.6","B","138","154","91.3","83.6",""
"047795","Edison Local","Jefferson","Region 12","14890 State Route 213","Hammondsville, OH, 43930-7902","(330) 532-3199","George W. Beattie","92.6","B","125","135","91.7","83.6",""
"047803","Indian Creek Local","Jefferson","Region 12","587 Bantam Ridge Rd","Wintersville, OH, 43953-4231","(740) 264-3502","Thomas C. Chappelear","82.7","D","129","156","90.1","83.6",""
"047829","Centerburg Local","Knox","Region 7","119 S Preston St","Centerburg, OH, 43011-7058","(740) 625-6346","Michael Hebenthal","94.4","A","84","89","96.2","83.6",""
"047837","Danville Local","Knox","Region 7","PO Box 30","Danville, OH, 43014-0030","(740) 599-6116","Jason T. Snively","91.1","B","51","56","93.8","83.6",""
"047845","East Knox Local","Knox","Region 7","23201 Coshocton Rd","Howard, OH, 43028-9362","(740) 599-7493","Stephen M. Larcomb","84.9","C","62","73","95.6","83.6",""
"047852","Fredericktown Local","Knox","Region 7","117 Columbus Rd","Fredericktown, OH, 43019-1272","(740) 694-2956","Matthew W. Chrispin","95.1","A","78","82","94.4","83.6",""
"047878","Kirtland Local","Lake","Region 4","9252 Chillicothe Rd","Kirtland, OH, 44094-9298","(440) 256-3360","William R. Wade","97.8","A","88","90","96.4","83.6",""
"047886","Madison Local","Lake","Region 4","1956 Red Bird Rd","Madison, OH, 44057-2122","(440) 428-2166","Angela M. Smith","89.1","B","238","267","94.0","83.6",""
"047894","Riverside Local","Lake","Region 4","585 Riverside Dr","Painesville, OH, 44077-5323","(440) 352-0668","James P. Kalis","88.7","C","299","337","94.3","83.6",""
"047902","Perry Local","Lake","Region 4","4325 Manchester Ave","Perry, OH, 44081-9413","(440) 259-9200","Jack K. Thompson","92.8","B","128","138","94.1","83.6",""
"047928","Dawson-Bryant Local","Lawrence","Region 15","222 Lane St","Coal Grove, OH, 45638-2947","(740) 532-6451","Stephen L. Easterling","95.6","A","87","91","89.0","83.6",""
"047936","Fairland Local","Lawrence","Region 15","228 Private Drive 10010","Proctorville, OH, 45669-8600","(740) 886-3100","Roni D. Hayes","93.4","A","127","136","94.7","83.6",""
"047944","Rock Hill Local","Lawrence","Region 15","2325A Co. Rd. 26","Ironton, OH, 45638-8385","(740) 532-7030","Wesley L. Hairston","95.8","A","114","119","89.3","83.6",""
"047951","South Point Local","Lawrence","Region 15","302 High St","South Point, OH, 45680","(740) 377-4315","Mark A. Christian","91.2","B","93","102","87.1","83.6",""
"047969","Symmes Valley Local","Lawrence","Region 15","14778 State Route 141","Willow Wood, OH, 45696-9015","(740) 643-2451","Darrell A. Humphreys","95.6","A","65","68","85.3","83.6",""
"047985","Johnstown-Monroe Local","Licking","Region 11","441 S Main St","Johnstown, OH, 43031-1297","(740) 967-6846","Dale L. Dickson","93.1","A","122","131","95.9","83.6",""
"047993","Lakewood Local","Licking","Region 11","PO Box 70","Hebron, OH, 43025-0070","(740) 928-5878","Mary K. Andrews","91.4","B","139","152","92.6","83.6",""
"048009","Licking Heights Local","Licking","Region 11","6539 Summit Rd SW","Pataskala, OH, 43062-8767","(740) 927-6926","Philip H. Wagner","95.0","A","208","219","94.0","83.6",""
"048017","Licking Valley Local","Licking","Region 11","1379 Licking Valley Rd","Newark, OH, 43055-9450","(740) 763-3525","David L. Hile","94.3","A","164","174","94.3","83.6",""
"048025","North Fork Local","Licking","Region 11","PO Box 497","Utica, OH, 43080-0497","(740) 892-3666","Scott L. Hartley","94.3","A","115","122","93.7","83.6",""
"048033","Northridge Local","Licking","Region 11","6066 Johnstown Utica Rd","Johnstown, OH, 43031-9408","(740) 967-6631","Scott A. Schmidt","97.2","A","106","109","95.8","83.6",""
"048041","Southwest Licking Local","Licking","Region 11","927-A South Street","Pataskala, OH, 43062","(740) 927-3941","Robert T. Jennell","89.8","B","299","333","93.7","83.6",""
"048074","Benjamin Logan Local","Logan","Region 6","4740 County Road 26","Bellefontaine, OH, 43311-9532","(937) 593-9211","David L. Harmon","97.8","A","132","135","94.2","83.6",""
"048082","Indian Lake Local","Logan","Region 6","6210 State Route 235 N","Lewistown, OH, 43333-9704","(937) 686-8601","Robert J. Underwood","99.3","A","136","137","91.9","83.6",""
"048090","Riverside Local","Logan","Region 6","2096 County Road 24 S","De Graff, OH, 43318-9406","(937) 585-5981","Scott M. Mann","89.8","B","53","59","94.8","83.6",""
"048116","Avon Local","Lorain","Region 2","36600 Detroit Rd","Avon, OH, 44011-1507","(440) 937-4680","Michael K. Laub Jr","98.0","A","291","297","96.6","83.6",""
"048124","Avon Lake City","Lorain","Region 2","175 Avon Belden Rd","Avon Lake, OH, 44012-1600","(440) 933-6210","Robert D. Scott","96.7","A","262","271","96.2","83.6",""
"048132","Clearview Local","Lorain","Region 2","4700 Broadway","Lorain, OH, 44052-5542","(440) 233-5412","Jerome M. Davis","89.9","B","134","149","82.0","83.6",""
"048140","Columbia Local","Lorain","Region 2","25796 Royalton Rd","Columbia Station, OH, 44028-9441","(440) 236-5008","Graig P. Bansek","100.0","A","86","86","95.7","83.6",""
"048157","Firelands Local","Lorain","Region 2","112 N Lake St","South Amherst, OH, 44001-2824","(440) 965-5821","Michael J. Von Gunten","93.5","A","145","155","94.7","83.6",""
"048165","Keystone Local","Lorain","Region 2","PO Box 65","Lagrange, OH, 44050-0065","(440) 355-2424","Franco Gallo","97.8","A","131","134","94.8","83.6",""
"048173","Midview Local","Lorain","Region 2","13050 Durkee Rd","Grafton, OH, 44044-1122","(440) 748-5353","Bruce R. Willingham","93.2","A","233","250","93.2","83.6",""
"048207","Anthony Wayne Local","Lucas","Region 1","PO Box 2487","Whitehouse, OH, 43571-0487","(419) 877-5377","James A. Fritz","94.6","A","313","331","95.8","83.6",""
"048215","Ottawa Hills Local","Lucas","Region 1","3600 Indian Rd","Toledo, OH, 43606-2425","(419) 536-6371","Kevin S. Miller","100.0","A","76","76","97.8","83.6",""
"048223","Springfield Local","Lucas","Region 1","6900 Hall St","Holland, OH, 43528-9485","(419) 867-5600","Matthew K. Geha","92.1","B","268","291","94.1","83.6",""
"048231","Washington Local","Lucas","Region 1","3505 W Lincolnshire Blvd","Toledo, OH, 43606-1231","(419) 473-8220","Susan M. Hayward","87.6","C","466","532","88.8","83.6",""
"048256","Jefferson Local","Madison","Region 11","906 W Main St","West Jefferson, OH, 43162-1144","(614) 879-7654","William R. Mullett","97.7","A","84","86","94.2","83.6",""
"048264","Jonathan Alder Local","Madison","Region 11","9200 US Route 42 S","Plain City, OH, 43064","(614) 873-5621","Gary L. Chapman","96.8","A","152","157","95.4","83.6",""
"048272","Madison-Plains Local","Madison","Region 11","55 Linson Rd","London, OH, 43140-9751","(740) 852-0290","Timothy Dettwiller","89.0","B","89","100","92.8","83.6",""
"048298","Austintown Local Schools","Mahoning","Region 5","700 S Raccoon Rd","Youngstown, OH, 44515-3536","(330) 797-3900","Vincent S. Colaluca","92.5","B","393","425","92.1","83.6",""
"048306","Boardman Local","Mahoning","Region 5","7410 Market St","Youngstown, OH, 44512-5612","(330) 726-3404","Timothy L. Saxton","96.4","A","323","335","93.6","83.6",""
"048314","Canfield Local","Mahoning","Region 5","100 Wadsworth St","Canfield, OH, 44406-1451","(330) 533-3303","Alex G. Geordan","97.6","A","206","211","95.9","83.6",""
"048322","Jackson-Milton Local","Mahoning","Region 5","13910 Mahoning Ave","North Jackson, OH, 44451-9616","(330) 538-3232","Kirk W. Baker","100.0","A","56","56","94.2","83.6",""
"048330","Lowellville Local","Mahoning","Region 5","52 Rocket Place","Lowellville, OH, 44436","(330) 536-6318","Eugene M. Thomas","100.0","A","54","54","94.6","83.6",""
"048348","Poland Local","Mahoning","Region 5","3199 Dobbins Rd","Poland, OH, 44514-2327","(330) 757-7000","David R. Janofa","98.4","A","182","185","95.8","83.6",""
"048355","Sebring Local","Mahoning","Region 5","510 N 14th St","Sebring, OH, 44672-1400","(330) 938-6165","Antoinette C. Viscounte","87.5","C","42","48","91.5","83.6",""
"048363","South Range Local","Mahoning","Region 5","11300 Columbiana Canfield Rd Ste B","Canfield, OH, 44406-8485","(330) 549-5226","Dennis J. Dunham","95.6","A","108","113","95.4","83.6",""
"048371","Springfield Local","Mahoning","Region 5","PO Box 549","New Middletown, OH, 44442-0549","(330) 542-2929","Thomas Yazvac","98.7","A","74","75","94.9","83.6",""
"048389","West Branch Local","Mahoning","Region 5","14277 S Main St","Beloit, OH, 44609-9504","(330) 938-9324","Timothy E. Saxton","94.0","A","140","149","94.1","83.6",""
"048397","Western Reserve Local","Mahoning","Region 5","13850 W Akron Canfield Rd","Berlin Center, OH, 44401-9752","(330) 547-4100","Douglas E. Mcglynn","95.2","A","60","63","93.6","83.6",""
"048413","Elgin Local","Marion","Region 7","1239 Keener Rd S","Marion, OH, 43302-1110","(740) 382-1101","Bruce M. Gast","95.6","A","87","91","92.3","83.6",""
"048421","Pleasant Local","Marion","Region 7","1107 Owens Rd W","Marion, OH, 43302-8421","(740) 389-4476","Jennifer L. Adams","100.0","A","83","83","95.0","83.6",""
"048439","Ridgedale Local","Marion","Region 7","3103 Hillman Ford Rd","Morral, OH, 43337-9302","(740) 382-6065","Robert A. Britton","90.7","B","39","43","94.1","83.6",""
"048447","River Valley Local","Marion","Region 7","197 Brockelsby Road","Caledonia, OH, 43314","(740) 725-5401","James P. Peterson","97.1","A","136","140","93.6","83.6",""
"048462","Black River Local","Medina","Region 7","257A County Road 40","Sullivan, OH, 44880-9731","(419) 736-3300","Chris A. Clark","90.2","B","101","112","94.7","83.6",""
"048470","Buckeye Local","Medina","Region 8","3044 Columbia Rd","Medina, OH, 44256-9411","(330) 722-8257","Kent J. Morgan","94.8","A","183","193","95.8","83.6",""
"048488","Cloverleaf Local","Medina","Region 8","8525 Friendsville Rd","Lodi, OH, 44254-9706","(330) 948-2500","Daryl G. Kubilus Jr","86.3","C","195","226","94.3","83.6",""
"048496","Highland Local","Medina","Region 8","3880 Ridge Rd","Medina, OH, 44256-7920","(330) 239-1901","Catherine L. Aukerman","97.7","A","259","265","96.0","83.6",""
"048512","Eastern Local","Meigs","Region 16","50008 State Route 681","Reedsville, OH, 45772-9022","(740) 667-6079","Steven P. Ohlinger","97.3","A","36","37","93.8","83.6",""
"048520","Meigs Local","Meigs","Region 16","41765 Pomeroy Pike","Pomeroy, OH, 45769-9411","(740) 992-2153","Scot F. Gheen","80.0","D","96","120","91.5","83.6",""
"048538","Southern Local","Meigs","Region 16","920 Elm St","Racine, OH, 45771-8902","(740) 949-2661","Anthony W. Deem","83.6","D","46","55","92.5","83.6",""
"048553","Marion Local","Mercer","Region 6","7956 State Route 119","Maria Stein, OH, 45860-9710","(419) 925-4294","Michael L. Pohlman","98.4","A","61","62","97.6","83.6",""
"048579","Parkway Local","Mercer","Region 6","400 Buckeye St","Rockford, OH, 45882-9267","(419) 363-3045","Jean M. Osterfeld","92.4","B","73","79","94.6","83.6",""
"048587","St Henry Consolidated Local","Mercer","Region 6","391 E Columbus St","Saint Henry, OH, 45883-9574","(419) 678-4834","Julie A. Garke","100.0","A","69","69","96.1","83.6",""
"048595","Fort Recovery Local","Mercer","Region 6","PO Box 604","Fort Recovery, OH, 45846-0604","(419) 375-4139","Justin M. Firks","93.5","A","58","62","96.4","83.6",""
"048611","Bethel Local","Miami","Region 10","7490 State Route 201","Tipp City, OH, 45371-7316","(937) 845-9414","Virginia D. Potter","94.7","A","72","76","95.9","83.6",""
"048629","Miami East Local","Miami","Region 10","3825 N State Route 589","Casstown, OH, 45312-9707","(937) 335-7505","Todd A. Rappold","98.9","A","91","92","95.3","83.6",""
"048637","Newton Local","Miami","Region 10","PO Box 803","Pleasant Hill, OH, 45359-0803","(937) 676-2002","Pat L. McBride","93.3","A","42","45","95.7","83.6",""
"048652","Switzerland of Ohio Local","Monroe","Region 12","304 Mill St","Woodsfield, OH, 43793-1256","(740) 472-5801","Jeffrey S. Greenley","82.2","D","148","180","91.4","83.6",""
"048678","Brookville Local","Montgomery","Region 10","75 June Pl","Brookville, OH, 45309-1621","(937) 833-2181","Timothy L. Hopkins","94.4","A","117","124","94.9","83.6",""
"048686","Jefferson Township Local","Montgomery","Region 10","2625 S Union Rd","Dayton, OH, 45417-5535","(937) 835-5682","Richard Gates","82.4","D","28","34","86.9","83.6",""
"048694","Trotwood-Madison City","Montgomery","Region 10","3594 N Snyder Rd","Trotwood, OH, 45426-3835","(937) 854-3050","Kevin A. Bell","79.3","D","142","179","81.7","83.6",""
"048702","Mad River Local","Montgomery","Region 10","801 Old Harshman Rd","Dayton, OH, 45431-1238","(937) 259-6606","Chad M. Wyen","81.3","D","165","203","88.8","83.6",""
"048710","New Lebanon Local","Montgomery","Region 10","320 S Fuls Rd","New Lebanon, OH, 45345","(937) 687-1301","Greg A. Williams","87.5","C","91","104","91.5","83.6",""
"048728","Northmont City","Montgomery","Region 10","4001 Old Salem Rd","Englewood, OH, 45322-2681","(937) 832-5000","Anthony R. Thomas","96.6","A","394","408","91.7","83.6",""
"048736","Northridge Local","Montgomery","Region 10","2008 Timber Ln","Dayton, OH, 45414-4528","(937) 278-5885","David A. Jackson","87.9","C","102","116","83.4","83.6",""
"048744","Valley View Local","Montgomery","Region 10","59 Peffley St","Germantown, OH, 45327-1021","(937) 855-6581","Richard S. Earley","95.5","A","128","134","94.6","83.6",""
"048751","Huber Heights City","Montgomery","Region 10","5954 Longford Rd","Huber Heights, OH, 45424-2943","(937) 237-6300","Susan M. Gunnell","87.1","C","411","472","88.2","83.6",""
"048777","Morgan Local","Morgan","Region 12","PO Box 509","Mc Connelsville, OH, 43756-0509","(740) 962-2782","Lori A. Snyder-Lowe","90.3","B","158","175","92.3","83.6",""
"048793","Cardington-Lincoln Local","Morrow","Region 7","121 Nichols St","Cardington, OH, 43315-1121","(419) 864-3691","Christopher B. Petrie","85.3","C","58","68","93.7","83.6",""
"048801","Highland Local","Morrow","Region 7","6506 State Route 229","Marengo, OH, 43334-0098","(419) 768-2206","Daniel W. Freund","91.7","B","132","144","94.4","83.6",""
"048819","Northmor Local","Morrow","Region 7","5247 County Road 29","Galion, OH, 44833-9742","(419) 946-8861","Chad A. Redmon","94.2","A","65","69","93.9","83.6",""
"048835","East Muskingum Local","Muskingum","Region 12","13505 John Glenn School Rd","New Concord, OH, 43762-9702","(740) 826-7655","Jill R. Sheridan","94.1","A","159","169","93.9","83.6",""
"048843","Franklin Local","Muskingum","Region 12","PO Box 428","Duncan Falls, OH, 43734-0428","(740) 674-5203","Sharon A. McDermott","98.0","A","150","153","90.2","83.6",""
"048850","Maysville Local","Muskingum","Region 12","3715 Panther Dr","Zanesville, OH, 43701-7086","(740) 453-0754","Ruth E. Zitnik","97.1","A","166","171","89.9","83.6",""
"048876","Tri-Valley Local","Muskingum","Region 12","36 E Muskingum Ave","Dresden, OH, 43821-9701","(740) 754-1442","Mark K. Neal","93.3","A","224","240","93.2","83.6",""
"048884","West Muskingum Local","Muskingum","Region 12","4880 West Pike","Zanesville, OH, 43701-9390","(740) 455-4052","Chad J. Shawger","97.5","A","118","121","92.1","83.6",""
"048900","Noble Local","Noble","Region 12","20977 Zep Rd E","Sarahsville, OH, 43779-9702","(740) 732-2084","Daniel C. Leffingwell","82.9","D","63","76","91.9","83.6",""
"048926","Benton Carroll Salem Local","Ottawa","Region 1","11685 W State Route 163","Oak Harbor, OH, 43449-1278","(419) 898-6210","Guy L. Parmigian","96.3","A","130","135","93.8","83.6",""
"048934","Danbury Local","Ottawa","Region 1","9451 E Harbor Rd","Lakeside Marblehead, OH, 43440-1310","(419) 798-5185","Daniel P. Parent","93.8","A","30","32","96.5","83.6",""
"048942","Genoa Area Local","Ottawa","Region 1","2810 N Genoa Clay Center Rd","Genoa, OH, 43430-9730","(419) 855-7741","Michael G. Ferguson","97.6","A","121","124","95.2","83.6",""
"048975","Put-In-Bay Local","Ottawa","Region 1","PO Box 659","Put In Bay, OH, 43456-0659","(419) 285-3614","Steven J. Poe","NC","NR","NC","NC","92.8","83.6",""
"048991","Antwerp Local","Paulding","Region 1","303 S. Harrmann Rd","Antwerp, OH, 45813","(419) 258-5421","Martin A. Miller","98.0","A","50","51","94.4","83.6",""
"049031","Wayne Trace Local","Paulding","Region 1","4915 US Route 127","Haviland, OH, 45851-9738","(419) 263-2415","Benjamin A. Winans","94.4","A","68","72","94.5","83.6",""
"049056","Northern Local","Perry","Region 12","8700 Sheridan Dr","Thornville, OH, 43076-9757","(740) 743-1303","Thomas P. Perkins","91.7","B","176","192","92.8","83.6",""
"049064","Southern Local","Perry","Region 16","10397 State Route 155 SE # 1","Corning, OH, 43730-9710","(740) 721-0520","Ralph G. Holbert","94.9","A","37","39","91.8","83.6",""
"049080","Logan Elm Local","Pickaway","Region 11","9579 Tarlton Rd","Circleville, OH, 43113-9448","(740) 474-7501","Timothy L. Williams","95.4","A","166","174","92.9","83.6",""
"049098","Teays Valley Local","Pickaway","Region 11","385 Viking Way","Ashville, OH, 43103-9638","(740) 983-5000","Robin N. Halley","90.7","B","273","301","93.1","83.6",""
"049106","Westfall Local","Pickaway","Region 11","19463 Pherson Pike","Williamsport, OH, 43164-9745","(740) 986-3671","Lynn P. Landis","91.7","B","111","121","94.2","83.6",""
"049122","Eastern Local","Pike","Region 15","1170 Tile Mill Rd","Beaver, OH, 45613-9435","(740) 226-4851","Neil E. Leist","88.3","C","53","60","88.4","83.6",""
